date,city,variant,rna,rna_norm,flow,proportion,rna_norm_smooth,new_cases,cases_smooth
2021-03-09,Zürich (ZH),B.1.1.7 (Alpha),1531423786687.8064,3.127125963719075,144349,0.935466995148301,2.502166277648574,11.93423931210191,10.999594526856036
2021-03-10,Zürich (ZH),B.1.1.7 (Alpha),1599137847438.9194,3.2653962448289398,145992,0.9292846563659112,2.6746343379582647,12.55146925477707,11.464804201697518
2021-03-11,Zürich (ZH),B.1.1.7 (Alpha),1803043806378.2722,3.6817666994993514,178198,0.9217014927192148,2.8584483044268296,13.319297806794056,12.026408295474273
2021-03-12,Zürich (ZH),B.1.1.7 (Alpha),1802155297921.938,3.6799523892562047,187527,0.91543211405559,3.04421663486091,12.476486297239916,12.661147219523459
2021-03-13,Zürich (ZH),B.1.1.7 (Alpha),1201404458025.1367,2.453235418096672,183377,0.91251586539776,3.1562922006745704,10.875402016985138,13.345761385182238
2021-03-14,Zürich (ZH),B.1.1.7 (Alpha),1021060418420.2234,2.0849777656082993,323460,0.9141339279524412,3.2286430489542153,6.362422902335456,13.997274199195065
2021-03-15,Zürich (ZH),B.1.1.7 (Alpha),1247982739844.9858,2.5483470101265318,366344,0.9197493425213388,3.3306562528025565,19.64795623566879,14.582844041657632
2021-03-16,Zürich (ZH),B.1.1.7 (Alpha),1827133859226.6694,3.730957936036508,236325,0.9269870881617716,3.4398132226581146,16.37912034819533,15.154413783933924
2021-03-17,Zürich (ZH),B.1.1.7 (Alpha),1413393709898.2795,2.8861117383709294,317901,0.933332614064966,3.580745556692884,21.453696762208068,15.763926297387949
2021-03-18,Zürich (ZH),B.1.1.7 (Alpha),1456912547549.7346,2.974976028134298,199555,0.9376691543004796,3.7771315292806094,16.315151687898087,16.418875140291867
2021-03-19,Zürich (ZH),B.1.1.7 (Alpha),1852110023524.3179,3.781958588193161,180298,0.939975313201268,4.004090685445987,15.971261165605096,17.05772264404768
2021-03-20,Zürich (ZH),B.1.1.7 (Alpha),2001509055694.179,4.0870273722319155,163133,0.9405626863006514,4.262836987704124,15.873975218683652,17.628864839714147
2021-03-21,Zürich (ZH),B.1.1.7 (Alpha),2325572941275.1187,4.748757064112712,156800,0.9397507715592252,4.568563487031766,9.645662813163483,18.080697758350006
2021-03-22,Zürich (ZH),B.1.1.7 (Alpha),1679647719332.9253,3.4297952263022284,163910,0.9378023822036956,4.860617550935997,24.797070641188963,18.40898547911043
2021-03-23,Zürich (ZH),B.1.1.7 (Alpha),2224924144351.643,4.543234942272605,158189,0.9350277795286096,5.107047734541703,21.70606899363057,18.671963087116193
2021-03-24,Zürich (ZH),B.1.1.7 (Alpha),2487874233201.7217,5.08017191370607,153691,0.9320021237096128,5.366098870252339,20.436399972399148,18.911733122374475
2021-03-25,Zürich (ZH),B.1.1.7 (Alpha),3626802786021.338,7.405833222680677,151124,0.9294584712258024,5.617323370122792,21.80931930997877,19.170398124892454
2021-03-26,Zürich (ZH),B.1.1.7 (Alpha),3190603898371.5986,6.515126888632496,151708,0.9276878823135848,5.817112719423082,24.12616651804671,19.405857079454062
2021-03-27,Zürich (ZH),B.1.1.7 (Alpha),4489684184068.465,9.167813705744353,282160,0.92663934866163,5.9889703603793585,12.263096025477708,19.53886252556803
2021-03-28,Zürich (ZH),B.1.1.7 (Alpha),2445959001312.917,4.994582143549582,167815,0.9260403857995512,6.223376016109646,11.010987564755839,19.55579733532877
2021-03-29,Zürich (ZH),B.1.1.7 (Alpha),3053119774232.857,6.2343880246219685,155239,0.9259975064788056,6.527190794367106,26.428268989384286,19.443044380830674
2021-03-30,Zürich (ZH),B.1.1.7 (Alpha),2523256498762.7637,5.152421543268401,150115,0.9269816054659376,6.798490214330607,20.472360339702764,19.41628456874425
