;sars_cov2_rna [gc/(d*100000 capita)];median_7d_sars_cov2_rna [gc/(d*100000 capita)];new_cases [1/(d*100000 capita)];median_7d_new_cases [1/(d*100000 capita)];quantification_flag [{Q: >LOQ,D: >LOD,N: <LOD}];flow [m^3/d]
2020-10-03;;;3.6363246363636366;;;
2020-10-05;;;7.2724876181818185;;;
2020-10-07;;;14.545296890909091;;;
2020-10-08;;;9.09087009090909;;;
2020-10-09;;;16.621668290909092;;;
2020-10-12;;;9.090730763636364;;;
2020-10-13;;;10.908973909090909;9.09087009090909;;
2020-10-14;;;10.90899058181818;10.908973909090909;;
2020-10-15;;;18.18174018181818;10.90899058181818;;
2020-10-16;;;14.545376545454547;10.90899058181818;;
2020-10-17;;;5.712607745454545;10.90899058181818;;
2020-10-19;;;38.18144289090909;10.90899058181818;;
2020-10-20;;;39.999747763636364;14.545376545454547;;
2020-10-21;;;36.36139861818182;18.18174018181818;;
2020-10-22;;;43.6356816;36.36139861818182;;
2020-10-23;;;47.27235525454545;38.18144289090909;;
2020-10-24;;;12.727272727272728;38.18144289090909;;
2020-10-25;;;12.72715870909091;38.18144289090909;;
2020-10-26;;;61.817399454545466;39.999747763636364;;
2020-10-27;;;63.63473812727273;43.6356816;;
2020-10-28;;;49.34877072727273;47.27235525454545;;
2020-10-29;;;49.179914290909096;49.179914290909096;;
2020-10-30;;;54.54489516363636;49.34877072727273;;
2020-10-31;3886146051045.7134;;18.181617527272724;49.34877072727273;Q;14258.0
2020-11-01;;;25.454236545454545;49.34877072727273;N;
2020-11-02;;;58.181058854545455;49.34877072727273;N;
2020-11-03;2813823934896.2935;;58.1813122;49.34877072727273;Q;12630.0
2020-11-04;;;51.16661625454545;51.16661625454545;N;
2020-11-05;4739970806818.794;;36.36342201818182;51.16661625454545;Q;12549.0
2020-11-06;;3886146051045.7134;27.272426290909095;36.36342201818182;N;
2020-11-07;;3776897370857.5435;19.999891745454544;36.36342201818182;N;
2020-11-08;9744322231832.324;4739970806818.794;14.545454545454545;36.36342201818182;Q;11713.0
2020-11-09;;4739970806818.794;54.54541554545455;36.36342201818182;N;
2020-11-10;4299922010698.092;4739970806818.794;39.99937094545455;36.36342201818182;Q;12570.0
2020-11-11;;4739970806818.794;38.27073674545454;36.36342201818182;N;
2020-11-12;2558320677023.568;4299922010698.092;40.25776994545454;38.27073674545454;Q;12334.0
2020-11-13;;4299922010698.092;50.90870985454546;39.99937094545455;N;
2020-11-14;;4299922010698.092;19.998933763636362;39.99937094545455;N;
2020-11-15;2218446852072.081;2558320677023.568;30.909077218181814;39.99937094545455;Q;11057.0
2020-11-16;;2558320677023.568;67.27214556363636;39.99937094545455;N;
2020-11-17;4172891412080.481;2558320677023.568;58.43962289090909;40.25776994545454;Q;11793.0
2020-11-18;;2558320677023.568;56.3623228;50.90870985454546;N;
2020-11-19;4231290797216.151;4172891412080.481;47.271881;50.90870985454546;Q;11935.0
2020-11-20;;4172891412080.481;45.45303098181818;47.271881;N;
2020-11-21;;4172891412080.481;30.90872323636364;47.271881;N;
2020-11-22;;4202091104648.316;16.363392945454546;47.271881;N;10545.0
2020-11-23;;4202091104648.316;78.18004123636365;47.271881;N;
2020-11-24;;4231290797216.151;49.090547490909096;47.271881;N;10244.0
2020-11-25;;4231290797216.151;45.454089290909096;45.454089290909096;N;
2020-11-26;;;41.81784183636364;45.45303098181818;N;11739.0
2020-11-27;;;41.81774221818182;41.81784183636364;N;
2020-11-28;;;27.272526618181814;41.81784183636364;N;
2020-11-29;;;23.636022272727274;41.81784183636364;N;10822.0
2020-11-30;;;58.18103598181818;41.81784183636364;N;
2020-12-01;;;36.620557090909095;41.81774221818182;N;
2020-12-02;;;52.7268895090909;41.81774221818182;N;
2020-12-03;;;56.36343065454545;41.81774221818182;N;
2020-12-04;;;29.090630436363636;36.620557090909095;N;
2020-12-05;;;27.271713727272726;36.620557090909095;N;
2020-12-06;;;14.545354218181817;36.620557090909095;N;
2020-12-07;;;65.71223441818181;36.620557090909095;N;
2020-12-08;;;39.999568327272726;39.999568327272726;N;
2020-12-09;;;41.81688169090909;39.999568327272726;N;
2020-12-10;;;56.36226050909091;39.999568327272726;N;
2020-12-11;;;36.36343570909091;39.999568327272726;N;
2020-12-12;;;29.090669436363637;39.999568327272726;N;
2020-12-13;;;19.998986454545452;39.999568327272726;N;
2020-12-14;;;62.33384447272728;39.999568327272726;N;
2020-12-15;;;42.07583487272727;41.81688169090909;N;
2020-12-16;;;63.63571474545455;42.07583487272727;N;
2020-12-17;;;43.6348812;42.07583487272727;N;
2020-12-18;;;42.33209305454545;42.33209305454545;N;
2020-12-19;;;27.27248761818182;42.33209305454545;N;
2020-12-20;;;10.908976890909091;42.33209305454545;N;
2020-12-21;;;54.54464758181818;42.33209305454545;N;
2020-12-22;;;34.54521281818182;42.33209305454545;N;
2020-12-23;;;30.90867590909091;34.54521281818182;N;
2020-12-24;;;21.81676696363636;30.90867590909091;N;
2020-12-25;;;21.817910309090912;27.27248761818182;N;
2020-12-26;;;9.090708436363638;21.817910309090912;N;
2020-12-27;;;12.72628449090909;21.817910309090912;N;
2020-12-28;;;36.36293407272728;21.817910309090912;N;
2020-12-29;;;27.272434927272723;21.817910309090912;N;
2020-12-30;;;21.817792836363637;21.817792836363637;N;
2020-12-31;;;29.08932543636364;21.817910309090912;N;
2021-01-01;;;16.621663345454543;21.817792836363637;N;
2021-01-02;;;31.68316376363636;27.272434927272723;N;
2021-01-03;;;;;N;
2021-01-04;;;50.997961836363636;29.08932543636364;N;
2021-01-05;;;31.42477887272727;29.08932543636364;N;
2021-01-06;;;23.636123981818184;29.08932543636364;N;
2021-01-07;;;31.166947890909093;31.166947890909093;N;
2021-01-08;;;22.333379490909092;31.166947890909093;N;
2021-01-09;;;30.908982654545454;31.166947890909093;N;
2021-01-10;;;;;N;
2021-01-11;;;14.54414001818182;30.908982654545454;N;
2021-01-12;;;32.98403787272728;30.908982654545454;N;
2021-01-13;;;23.636023654545454;23.636123981818184;N;
2021-01-14;;;16.363536036363637;23.636023654545454;N;
2021-01-15;;;21.032148836363636;22.333379490909092;N;
2021-01-16;;;32.72626945454545;23.636023654545454;N;
2021-01-17;;;;;N;
2021-01-18;;;39.999359036363636;23.636023654545454;N;
2021-01-19;;;19.999264727272728;23.636023654545454;N;
2021-01-20;;;27.530536218181815;23.636023654545454;N;
2021-01-21;;;21.81798116363636;21.81798116363636;N;
2021-01-22;;;18.1814782;21.81798116363636;N;
2021-01-23;;;2.334406727272727;21.81798116363636;N;
2021-01-24;;;;;N;
2021-01-25;;;29.090215436363636;21.81798116363636;N;
2021-01-26;;;7.2726190181818176;19.999264727272728;N;
2021-01-27;;;;;N;
2021-01-28;;;12.98523469090909;18.1814782;N;
2021-01-29;;;19.999799345454544;18.1814782;N;
2021-01-30;;;14.545139872727274;14.545139872727274;N;
2021-01-31;;;3.636224309090909;12.98523469090909;N;
2021-02-01;194760782215.2228;194760782215.2228;14.545338363636365;14.545139872727274;D;27247.0
2021-02-02;719406719708.4976;457083750961.86017;7.272713581818182;12.98523469090909;D;22418.0
2021-02-03;816195384196.8864;719406719708.4976;16.45261418181818;14.545139872727274;D;23500.0
2021-02-04;1098492814881.3087;767801051952.692;18.270762054545454;14.545338363636365;Q;16106.0
2021-02-05;1375920349026.4292;816195384196.8864;21.817985654545453;14.545338363636365;Q;17940.0
2021-02-06;379814962298.68427;767801051952.692;14.545240199999999;14.545338363636365;D;18051.0
2021-02-07;64469818181.81818;719406719708.4976;;;N;44323.0
2021-02-08;417770534028.57666;719406719708.4976;19.999598690909092;16.45261418181818;D;20689.0
2021-02-09;303368984667.861;417770534028.57666;18.181736036363635;18.181736036363635;D;17437.0
2021-02-10;856801260998.3899;417770534028.57666;5.4544177454545455;18.181736036363635;D;17563.0
2021-02-11;1888762621765.5525;417770534028.57666;12.7271334;18.181736036363635;Q;15132.0
2021-02-12;198486035446.2706;379814962298.68427;;;D;14590.0
2021-02-13;2311443274569.213;417770534028.57666;;;Q;13758.0
2021-02-14;787361605663.936;787361605663.936;;;Q;13510.0
2021-02-15;361922594246.97736;787361605663.936;;;D;14156.0
2021-02-16;740374018593.9635;787361605663.936;7.271752727272728;14.545240199999999;D;15320.0
2021-02-17;24660363636.363636;740374018593.9635;5.454531763636363;12.7271334;N;16954.0
2021-02-18;801650001591.5452;740374018593.9635;;;Q;13688.0
2021-02-19;80536959185.34279;740374018593.9635;;;N;13801.0
2021-02-20;247937316971.94418;361922594246.97736;;;D;13564.0
2021-02-21;98668880708.22006;247937316971.94418;;;D;13081.0
2021-02-22;96278397599.87106;98668880708.22006;;;D;13506.0
2021-02-23;19160727272.727272;96278397599.87106;;;N;13173.0
2021-02-24;1473649284036.0125;98668880708.22006;;;Q;15639.0
2021-02-25;248770542052.96747;98668880708.22006;9.090808763636362;9.090808763636362;D;14831.0
2021-02-26;612134284486.4615;247937316971.94418;10.908890254545454;9.090808763636362;D;14281.0
2021-02-27;658281782622.4631;248770542052.96747;;;Q;13221.0
2021-02-28;473826801637.5491;473826801637.5491;;;D;12856.0
2021-03-01;725702498368.1312;612134284486.4615;;;Q;14355.0
2021-03-02;233075797150.00415;612134284486.4615;9.090895399999999;9.090808763636362;D;13096.0
2021-03-03;253452657312.07062;473826801637.5491;5.454506454545454;9.090808763636362;D;13580.0
2021-03-04;909665209178.6561;612134284486.4615;12.727190490909091;9.090808763636362;Q;13462.0
2021-03-05;1150342884819.9749;658281782622.4631;10.909067127272726;9.090895399999999;Q;19078.0
2021-03-06;386606820422.6059;473826801637.5491;5.454537527272727;9.090895399999999;D;12519.0
2021-03-07;18546909090.909092;386606820422.6059;7.272680345454546;9.090895399999999;N;12751.0
2021-03-08;650721859981.1005;386606820422.6059;27.27207838181818;9.090895399999999;D;18386.0
2021-03-09;1576375177931.6743;650721859981.1005;16.363274763636365;10.909067127272726;Q;13072.0
2021-03-10;834559891177.0096;834559891177.0096;9.090608109090908;10.909067127272726;Q;12779.0
2021-03-11;311202350094.2836;650721859981.1005;10.908798563636365;10.908798563636365;D;15246.0
2021-03-12;125068763080.37852;386606820422.6059;7.361899181818181;9.090608109090908;D;16027.0
2021-03-13;2615112071362.678;650721859981.1005;;;Q;14086.0
2021-03-14;3496263627180.8843;834559891177.0096;;;Q;25611.0
2021-03-15;1537215822044.466;1537215822044.466;;;Q;39790.0
2021-03-16;739592951917.4205;834559891177.0096;;;D;30677.0
2021-03-17;737203580743.5941;739592951917.4205;;;D;23647.0
