;sars_cov2_rna [gc/(d*100000 capita)];median_7d_sars_cov2_rna [gc/(d*100000 capita)];new_cases [1/(d*100000 capita)];median_7d_new_cases [1/(d*100000 capita)];quantification_flag [{Q: >LOQ,D: >LOD,N: <LOD}];flow [m^3/d]
2020-10-01;1183035353548.4373;;14.06916057537155;;D;134097.0
2020-10-02;;;15.051168316348196;;N;132582.0
2020-10-03;;;15.815112513800425;;N;269379.0
2020-10-04;595032746768.8173;;3.923218335456476;;D;191744.0
2020-10-05;;;12.46590704670913;;N;178771.0
2020-10-06;;;15.889834176220806;;N;156324.0
2020-10-07;;889034050158.6272;18.53645217409766;15.051168316348196;N;194917.0
2020-10-08;1578315384414.4668;1086674065591.6421;25.884812326963907;15.815112513800425;D;145808.0
2020-10-09;;1086674065591.6421;30.755863779193206;15.889834176220806;N;131396.0
2020-10-10;6300136965584.351;1578315384414.4668;20.997359496815285;18.53645217409766;Q;220637.0
2020-10-11;687501113719.06;1578315384414.4668;10.923200581740977;18.53645217409766;Q;193444.0
2020-10-12;;1578315384414.4668;22.7828489044586;20.997359496815285;N;145852.0
2020-10-13;;1578315384414.4668;34.381720337579615;22.7828489044586;N;137470.0
2020-10-14;;1578315384414.4668;44.15575748407643;25.884812326963907;N;133326.0
2020-10-15;2118257168644.941;2118257168644.941;39.643322131634825;30.755863779193206;D;131701.0
2020-10-16;;2118257168644.941;48.74520337791932;34.381720337579615;N;191874.0
2020-10-17;;1402879141182.0005;38.795190598726116;38.795190598726116;N;162534.0
2020-10-18;3252004847170.1304;2685131007907.5356;13.389423874734607;38.795190598726116;Q;126678.0
2020-10-19;;2685131007907.5356;51.61842373673036;39.643322131634825;N;134553.0
2020-10-20;;2685131007907.5356;57.184219040339705;44.15575748407643;N;134055.0
2020-10-21;;2685131007907.5356;71.82671096390658;48.74520337791932;N;134665.0
2020-10-22;4282815117439.3623;3767409982304.7466;63.2547536985138;51.61842373673036;Q;133631.0
2020-10-23;;3767409982304.7466;68.51787504458599;57.184219040339705;N;331454.0
2020-10-24;;3767409982304.7466;81.96160421656052;63.2547536985138;N;240721.0
2020-10-25;5725123375052.381;5003969246245.871;28.859140615711254;63.2547536985138;Q;163464.0
2020-10-26;;5003969246245.871;72.22026739490445;68.51787504458599;N;311388.0
2020-10-27;;5003969246245.871;86.23804768152867;71.82671096390658;N;231917.0
2020-10-28;;5003969246245.871;105.18699219745223;72.22026739490445;N;207136.0
2020-10-29;8025083879104.844;6875103627078.612;82.24222697027601;81.96160421656052;Q;296469.0
2020-10-30;;6875103627078.612;73.01748636942675;81.96160421656052;N;209255.0
2020-10-31;10894406093480.078;8025083879104.844;54.2668154522293;73.01748636942675;Q;147361.0
2020-11-01;9819501724600.537;9819501724600.537;25.175889437367303;73.01748636942675;Q;148710.0
2020-11-02;6510365842889.683;8922292801852.69;61.79034286624204;73.01748636942675;Q;143534.0
2020-11-03;3217422286140.0884;8025083879104.844;77.07376624416136;73.01748636942675;D;187455.0
2020-11-04;5199127602146.045;7267724860997.263;82.55078623354565;73.01748636942675;Q;200906.0
2020-11-05;5958744928106.263;6234555385497.973;66.17309017622081;66.17309017622081;Q;140717.0
2020-11-06;8176114086653.289;6510365842889.683;61.4960369893843;61.79034286624204;Q;139112.0
