data_type,onset_month,onset_year,ktn,mean,sd,shape,scale,count
Confirmed cases,3,2020,FR,5.801104972375691,4.637312307675598,1.5649078101729685,3.706994708994709,181
Confirmed cases,3,2020,GE,4.268608414239482,4.261236293086008,1.003463078641283,4.2538769039906255,309
Confirmed cases,3,2020,GR,3.1437908496732025,3.011858799753495,1.0895271973213523,2.8854633986212943,153
Confirmed cases,3,2020,SG,4.685714285714286,4.069857032346009,1.3255414127436949,3.534943714821764,105
Confirmed cases,3,2020,TI,4.633233532934132,4.1314862621079,1.257638302653825,3.6840747639104525,668
Confirmed cases,3,2020,ZH,4.503048780487805,4.178727602610403,1.1612485360512979,3.877764871764612,328
Confirmed cases,4,2020,FR,4.714285714285714,4.133198922545748,1.300945744151319,3.623737373737374,49
Confirmed cases,4,2020,GE,1.9215686274509804,2.696984517974858,0.5076388976983935,3.7853061224489792,51
Confirmed cases,4,2020,GR,4.1,3.5103022978402048,1.3642019837691615,3.005420054200542,10
Confirmed cases,4,2020,SG,3.7142857142857144,3.3610568719828735,1.2212340188993884,3.0414201183431953,14
Confirmed cases,4,2020,TI,2.888888888888889,3.4213725750551625,0.7129530600118835,4.052004333694475,72
Confirmed cases,4,2020,ZH,3.011904761904762,4.5983078281457725,0.4290287418530725,7.020286680318111,84
Confirmed cases,5,2020,FR,4.333333333333333,5.033222956847166,0.7412280701754386,5.846153846153847,21
Confirmed cases,5,2020,GE,5,6.8282501418738315,0.5361930294906166,9.325,17
Confirmed cases,5,2020,GR,4.833333333333333,4.3089055068157,1.258228605625374,3.841379310344827,6
Confirmed cases,5,2020,SG,3,2.345207879911715,1.6363636363636365,1.8333333333333333,5
Confirmed cases,5,2020,TI,4.222222222222222,4.763868642652151,0.785529715762274,5.374999999999999,9
Confirmed cases,5,2020,ZH,2.5454545454545454,2.488610419125866,1.0462051709758131,2.4330357142857144,33
Confirmed cases,6,2020,FR,3.1020408163265305,3.254771484292866,0.9083516533921322,3.4150219298245617,49
Confirmed cases,6,2020,GE,4.454545454545454,4.183041417179072,1.1340245602986816,3.9280855199222553,22
Confirmed cases,6,2020,GR,3,0.7071067811865476,17.999999999999996,0.1666666666666667,5
Confirmed cases,6,2020,SG,4.657894736842105,5.974162005193354,0.6078904890611775,7.662391204764085,38
Confirmed cases,6,2020,TI,2.8,2.4899799195977463,1.264516129032258,2.214285714285714,5
Confirmed cases,6,2020,ZH,4.268571428571429,4.546298951273595,0.8815544168939176,4.842096354767729,175
Confirmed cases,7,2020,FR,3.626865671641791,2.6733013348923165,1.8406326068537135,1.9704451926674145,67
Confirmed cases,7,2020,GE,3.267123287671233,2.874071962580721,1.2922179529010704,2.5283066841289714,438
Confirmed cases,7,2020,GR,2.540983606557377,3.2484548659929757,0.6118571679608411,4.152903225806451,61
Confirmed cases,7,2020,SG,4.225806451612903,3.901307005791288,1.1732726537697822,3.601725854629937,93
Confirmed cases,7,2020,TI,2.696969696969697,2.506053277626601,1.1581679277698578,2.3286516853932584,33
Confirmed cases,7,2020,ZH,3.4506666666666668,3.0314030801892886,1.2957423160621573,2.6630809412425926,375
Confirmed cases,8,2020,FR,3.0425531914893615,3.282675625967477,0.8590539083451489,3.541748849441158,235
Confirmed cases,8,2020,GE,3.0371389270976614,2.7277770364460663,1.2396856624553168,2.449926637920709,727
Confirmed cases,8,2020,GR,3.0454545454545454,3.284597922046737,0.8596859245007392,3.542519958347796,44
Confirmed cases,8,2020,SG,3.774193548387097,3.8314885126275744,0.9703161954201571,3.889653255506914,124
Confirmed cases,8,2020,TI,2.658536585365854,2.383377394555476,1.2442270837478662,2.1366972477064223,41
Confirmed cases,8,2020,ZH,3.329557157569516,2.975941626876274,1.251768829382155,2.6598818243564275,971
Confirmed cases,9,2020,FR,2.8055555555555554,2.436040208735811,1.3263826771304035,2.1151931519682585,540
Confirmed cases,9,2020,GE,2.725609756097561,2.369747825391693,1.3228880194716073,2.0603480536366443,820
Confirmed cases,9,2020,GR,3,3.574369791024017,0.7044392523364487,4.258706467661692,68
Confirmed cases,9,2020,SG,3.733050847457627,4.677780071508657,0.6368662171911366,5.861593450382786,236
Confirmed cases,9,2020,TI,3.272727272727273,3.234390121998189,1.0238464464405888,3.1965020576131686,55
Confirmed cases,9,2020,ZH,3.1697635135135136,3.337949716904284,0.9017665959659763,3.5150598033829907,1184
Confirmed cases,10,2020,FR,2.931797786419384,2.245312285122275,1.7049612780368046,1.7195685463280628,3343
Confirmed cases,10,2020,GE,2.512966476913346,2.287415238413464,1.2069335789565552,2.082108345254518,1581
Confirmed cases,10,2020,GR,2.4567430025445294,2.4971395768663487,0.9679074216020892,2.538200397800552,786
Confirmed cases,10,2020,SG,2.6790254237288136,2.4514526226717788,1.194281380073662,2.243211246886872,2832
Confirmed cases,10,2020,TI,2.34692513368984,2.287810633639644,1.0523454396675465,2.230185113389452,1496
Confirmed cases,10,2020,ZH,2.764935525848811,2.364199152961303,1.3677348172591788,2.021543570404606,8453
Confirmed cases,11,2020,FR,2.4553191489361703,2.782946273612058,0.7784061482440462,3.154290539039239,235
Confirmed cases,11,2020,GE,1.655,2.564930670940965,0.41633673746080607,3.9751476415309175,200
Confirmed cases,11,2020,GR,1.4627659574468086,2.132934211678428,0.47032143105622853,3.1101409820126396,188
Confirmed cases,11,2020,SG,2.699009900990099,3.550723575082663,0.5777969275118143,4.671208468713971,505
Confirmed cases,11,2020,TI,2.491304347826087,3.1154143502650276,0.6394725988283672,3.8958734938613793,460
Confirmed cases,11,2020,ZH,2.650050864699898,3.363518411929654,0.620755821209548,4.26907130655054,983
Confirmed cases,12,2020,FR,3.1447368421052633,3.8598927355335357,0.6637708029007082,4.7376847977684795,76
Confirmed cases,12,2020,GE,1.8024691358024691,2.799195210620455,0.414638190927893,4.34708904109589,81
Confirmed cases,12,2020,GR,2.045112781954887,2.724369990152673,0.5635109384463122,3.6292335115864534,133
Confirmed cases,12,2020,SG,2.560085836909871,3.0020844359141727,0.7272157028351716,3.5203940549261383,466
Confirmed cases,12,2020,TI,2.7361419068736144,3.3425209670805724,0.670083548062367,4.083284710967045,451
Confirmed cases,12,2020,ZH,2.7122877122877123,3.512426349567897,0.5962893598773858,4.548609944751381,1001
Confirmed cases,1,2021,FR,2.966666666666667,3.784801064933743,0.6144002579723028,4.828557000378741,90
Confirmed cases,1,2021,GE,2.3333333333333335,3.9716738975383032,0.3451488298114066,6.76036866359447,63
Confirmed cases,1,2021,GR,1.721311475409836,2.214581582308372,0.6041371752134801,2.849206349206349,61
Confirmed cases,1,2021,SG,2.79375,2.826418216950018,0.977017254995547,2.859468433863774,160
Confirmed cases,1,2021,TI,2,2.368626101855168,0.712962962962963,2.805194805194805,155
Confirmed cases,1,2021,ZH,2.5202020202020203,3.0484851535207476,0.6834433814859665,3.6875066588873957,396
Confirmed cases,2,2021,FR,2.5,2.54000254000381,0.9687500000000001,2.5806451612903225,32
Confirmed cases,2,2021,GE,2,2.312755328456152,0.7478260869565219,2.674418604651162,44
Confirmed cases,2,2021,GR,2.4,3.4089665049071614,0.49565217391304345,4.842105263157896,20
Confirmed cases,2,2021,SG,3.566666666666667,2.88401007700975,1.5294366707422,2.332013305876762,60
Confirmed cases,2,2021,TI,2.5,3.292891928822135,0.5764014466546111,4.337254901960785,52
Confirmed cases,2,2021,ZH,2.5833333333333335,3.5702001243693595,0.5235712297072858,4.934062810856899,228
